R1,R2,Eheri,Epara,Etotal
4.5,-0.4,2.926,5.8188,23.3416
4.6,-0.4,-2.7893,-0.5305,-12.2182
4.7,-0.4,-6.5606,-4.9402,-36.1228
4.8,-0.4,-8.894,-7.8543,-51.2846
4.9,-0.4,-10.1783,-9.6453,-60.0038
5,-0.4,-10.7082,-10.6053,-64.0434
5.1,-0.4,-10.7069,-10.9672,-64.762
5.2,-0.4,-10.3507,-10.902,-63.2068
5.3,-0.4,-9.782,-10.552,-60.232
5.4,-0.4,-9.1079,-10.0253,-56.4822
5.5,-0.4,-8.4005,-9.3988,-52.3996
4.5,-0.3,2.3215,-2.6288,4.0284
4.6,-0.3,-3.2954,-6.3474,-25.8764
4.7,-0.3,-6.9977,-8.7404,-45.4716
4.8,-0.3,-9.2834,-10.1432,-57.42
4.9,-0.3,-10.5301,-10.8229,-63.7662
5,-0.3,-11.0242,-10.9829,-66.0626
5.1,-0.3,-10.9866,-10.7797,-65.5058
5.2,-0.3,-10.5984,-10.3432,-63.08
5.3,-0.3,-10.0008,-9.7657,-59.5346
5.4,-0.3,-9.3029,-9.1147,-55.441
5.5,-0.3,-8.5755,-8.435,-51.172
4.5,-0.2,1.5477,-7.5132,-8.8356
4.6,-0.2,-3.9118,-9.4452,-34.5376
4.7,-0.2,-7.5019,-10.51,-51.0276
4.8,-0.2,-9.708,-10.9452,-60.7224
4.9,-0.2,-10.8925,-10.9314,-65.4328
5,-0.2,-11.334,-10.6147,-66.5654
5.1,-0.2,-11.2519,-10.1093,-65.2262
5.2,-0.2,-10.8261,-9.4923,-62.289
5.3,-0.2,-10.199,-8.825,-58.446
5.4,-0.2,-9.4772,-8.1428,-54.1944
5.5,-0.2,-8.7322,-7.473,-49.8748
4.5,-0.1,0.6371,-9.9914,-17.4344
4.6,-0.1,-4.6179,-10.7621,-39.9958
4.7,-0.1,-8.0606,-10.9847,-54.2118
4.8,-0.1,-10.1595,-10.8261,-62.2902
4.9,-0.1,-11.2607,-10.416,-65.8748
5,-0.1,-11.6344,-9.8547,-66.247
5.1,-0.1,-11.4977,-9.2113,-64.4134
